2021/04/03 18:22:04,,,
sorterName,dataSize,runTime(ms),
QuickSort,128,41.694,
InsertionSort,128,100.571,
TimSort,128,106.24,
QuickSort,256,96.568,
InsertionSort,256,370.986,
TimSort,256,167.542,
QuickSort,512,222.616,
InsertionSort,512,1277.592,
TimSort,512,368.317,
QuickSort,1024,131.315,
InsertionSort,1024,2053.144,
TimSort,1024,806.557,
QuickSort,2048,251.946,
InsertionSort,2048,1418.386,
TimSort,2048,487.802,
QuickSort,4096,523.141,
InsertionSort,4096,13412.781,
TimSort,4096,1052.919,
QuickSort,8192,733.66,
InsertionSort,8192,10763.453,
TimSort,8192,2667.756,
QuickSort,16384,1366.148,
InsertionSort,16384,30878.448,
TimSort,16384,5542.909,
QuickSort,32768,2406.887,
InsertionSort,32768,122185.144,
TimSort,32768,4287.499,
,,,
2021/04/03 18:22:54,,,
sorterName,dataSize,runTime(ms),
QuickSort,128,44.14,
InsertionSort,128,108.401,
TimSort,128,104.272,
QuickSort,256,99.806,
InsertionSort,256,383.213,
TimSort,256,182.126,
QuickSort,512,195.627,
InsertionSort,512,1285.252,
TimSort,512,402.196,
QuickSort,1024,159.952,
InsertionSort,1024,2101.216,
TimSort,1024,816.684,
QuickSort,2048,250.843,
InsertionSort,2048,6375.324,
TimSort,2048,490.44,
QuickSort,4096,336.873,
InsertionSort,4096,2067.713,
TimSort,4096,1026.475,
QuickSort,8192,655.572,
InsertionSort,8192,7852.06,
TimSort,8192,2462.006,
QuickSort,16384,1359.594,
InsertionSort,16384,31042.004,
TimSort,16384,3244.591,
QuickSort,32768,2454.102,
InsertionSort,32768,121121.56,
TimSort,32768,4755.839,
,,,
2021/04/03 18:26:40,,,
sorterName,dataSize,runTime(ms),
QuickSort,128,50.306,
InsertionSort,128,89.335,
TimSort,128,273.523,
QuickSort,256,124.609,
InsertionSort,256,362.002,
TimSort,256,161.348,
QuickSort,512,240.569,
InsertionSort,512,1229.804,
TimSort,512,354.33,
QuickSort,1024,144.763,
InsertionSort,1024,2114.614,
TimSort,1024,865.534,
QuickSort,2048,242.195,
InsertionSort,2048,6202.971,
TimSort,2048,556.233,
QuickSort,4096,366.018,
InsertionSort,4096,2103.154,
TimSort,4096,1049.294,
QuickSort,8192,659.724,
InsertionSort,8192,8008.477,
TimSort,8192,2671.949,
QuickSort,16384,1359.491,
InsertionSort,16384,30840.852,
TimSort,16384,3917.453,
QuickSort,32768,2373.562,
InsertionSort,32768,120413.512,
TimSort,32768,4288.282,
,,,
2021/04/03 18:26:41,,,
sorterName,dataSize,runTime(ms),
QuickSort,128,44.918,
InsertionSort,128,107.571,
TimSort,128,104.363,
QuickSort,256,87.645,
InsertionSort,256,378.747,
TimSort,256,168.828,
QuickSort,512,228.94,
InsertionSort,512,1275.718,
TimSort,512,368.191,
QuickSort,1024,138.793,
InsertionSort,1024,2251.608,
TimSort,1024,861.767,
QuickSort,2048,244.296,
InsertionSort,2048,3045.391,
TimSort,2048,503.358,
QuickSort,4096,521.229,
InsertionSort,4096,2080.908,
TimSort,4096,1041.172,
QuickSort,8192,676.012,
InsertionSort,8192,8092.557,
TimSort,8192,2463.603,
QuickSort,16384,1417.196,
InsertionSort,16384,30979.05,
TimSort,16384,3177.764,
QuickSort,32768,2343.685,
InsertionSort,32768,121413.128,
TimSort,32768,7155.253,
,,,
2021/04/03 18:26:42,,,
sorterName,dataSize,runTime(ms),
QuickSort,128,49.111,
InsertionSort,128,108.379,
TimSort,128,107.354,
QuickSort,256,88.065,
InsertionSort,256,383.125,
TimSort,256,168.858,
QuickSort,512,210.002,
InsertionSort,512,1252.774,
TimSort,512,363.788,
QuickSort,1024,135.841,
InsertionSort,1024,2154.108,
